config,year,quarter,IC,ICIR,RankIC,RankICIR,NDCG@200,top_return,Stability
baseline,2023,1,0.09421249352008698,2.816378411575315,0.09888769555556913,2.8102495706324113,0.0,0.14625825590221103,0.3524921324119637
baseline,2023,2,0.09939740093480046,2.4715199624608477,0.10061868014871822,2.230786092082616,0.0,0.24844846298225792,0.48857250610022296
baseline,2023,3,0.09005841890905264,1.8182906096866,0.09626318747809948,2.0502055144869873,0.0,0.09494228703773552,0.28369750252811077
baseline,2023,4,0.0851613396685027,1.883708358854985,0.09952829592248036,2.740079233670607,0.0,0.15052148170751217,0.3529136712791386
baseline,2024,1,0.11042331897221942,1.358701017099305,0.12045059378406307,1.253134075213153,0.0,0.19771919117304207,0.3540610954546144
baseline,2024,2,0.10719466486124343,1.6822431908433921,0.11594317125650412,1.6002363305340968,0.0,0.12655858361975905,0.2485105652355931
baseline,2024,3,0.10206025062236015,2.08148642837699,0.11398477353817707,2.2670365554911105,0.0,0.1135549775673277,0.26435764008936896
baseline,2024,4,0.1004210288248268,1.7501136639266541,0.10975750167877528,1.6147824340713317,0.0,0.2691566274417358,0.3745514315828911
baseline,2025,1,0.09307892503974396,1.8318017826836805,0.10220611915861126,1.7758045045900739,0.0,0.11207999052810563,0.21450293306348403
baseline,2025,2,0.08938953981331638,1.5680989578406523,0.10511566681362794,1.6012872890481602,0.0,0.18883539224592702,0.425091654882684
residual_label,2023,1,0.09421249352008698,2.8163784115753145,0.09888769555556913,2.8102495706324113,0.0,0.1409723004800536,0.36330945624551564
residual_label,2023,2,0.09939740093480046,2.4715199624608477,0.10061868014871822,2.230786092082616,0.0,0.19239059756368235,0.37863419801378195
residual_label,2023,3,0.09005841890905263,1.8182906096866,0.09626318747809948,2.0502055144869873,0.0,0.08347194001433561,0.26679950920039286
residual_label,2023,4,0.0851613396685027,1.8837083588549848,0.09952829592248036,2.740079233670607,0.0,0.10329300455113044,0.2651281197046009
residual_label,2024,1,0.11042331897221941,1.358701017099305,0.12045059378406307,1.253134075213153,0.0,0.18240603600672742,0.6533959896263699
residual_label,2024,2,0.10719466486124343,1.6822431908433921,0.11594317125650412,1.6002363305340968,0.0,0.13179261197781406,0.4009040963366773
residual_label,2024,3,0.10206025062236015,2.08148642837699,0.11398477353817707,2.2670365554911105,0.0,0.09220725132101698,0.2153244242034156
residual_label,2024,4,0.1004210288248268,1.750113663926654,0.10975750167877528,1.6147824340713317,0.0,0.25210455810942933,0.486578034117269
residual_label,2025,1,0.09307892503974396,1.8318017826836805,0.10220611915861126,1.7758045045900739,0.0,0.07130843455927013,0.16413993807130683
residual_label,2025,2,0.08938953981331638,1.5680989578406523,0.10511566681362794,1.6012872890481602,0.0,0.11177652302507685,0.32852962467805275
risk_adjusted_label,2023,1,0.09687432814766211,2.6725692064750652,0.10307565978799105,2.4999089018099863,0.0,23.367852139594866,0.4634215020637094
risk_adjusted_label,2023,2,0.09965067664780497,2.0623959783913954,0.10385451488804666,1.95482038864026,0.0,26.060597346820067,0.5876726023732876
risk_adjusted_label,2023,3,0.08887533589687022,1.808815914911193,0.09797860147278623,1.738647648527553,0.0,4.73328450093815,0.10602821311122365
risk_adjusted_label,2023,4,0.09252904549595772,2.019323400850303,0.10112899482143341,2.095453177467726,0.0,14.475642850551829,0.29795715716355115
risk_adjusted_label,2024,1,0.10889518540260744,1.1369977628314272,0.11914181427006999,1.1043881412135532,0.0,15.121639975775171,0.21257465958426797
risk_adjusted_label,2024,2,0.0962919545853736,1.4795332712462506,0.11603295814278669,1.5697625529339527,0.0,9.969014405399756,0.282757638974411
risk_adjusted_label,2024,3,0.10577650267170507,1.8397212777320138,0.11487560519819341,1.689045056983026,0.0,17.018792906403576,0.32659230534642375
risk_adjusted_label,2024,4,0.09566485084113335,1.480978629819887,0.10548623896876529,1.3445115416083495,0.0,31.12983263573588,0.278355406964755
risk_adjusted_label,2025,1,0.09566018306052246,1.7185996370498966,0.10609290522758179,1.7424593631730976,0.0,15.261097690678183,0.38614072891281986
risk_adjusted_label,2025,2,0.09594926986400977,1.6967350022230843,0.11409499499749166,1.8037398096062942,0.0,18.9163895298048,0.44008801797245023
factor_timing,2023,1,0.09508337223805821,2.640146631317397,0.09904035511615567,2.856744319770729,0.0,0.15248343768336772,0.3398224516824979
factor_timing,2023,2,0.09725637932820644,2.3717198516998117,0.09773360558703022,2.0574786267854224,0.0,0.2543551403707283,0.5143423488440052
factor_timing,2023,3,0.08698767131406758,1.7817335817465938,0.0967668367981558,2.01149586726001,0.0,0.09751595017092665,0.24449904974680453
factor_timing,2023,4,0.08041577790646486,1.707381280476247,0.08735140625732124,1.966252392384006,0.0,0.16791160026268664,0.3980923244977533
factor_timing,2024,1,0.1121322886699894,1.3388122096009858,0.12206186689759564,1.2149003622504606,0.0,0.17489610128923436,0.294311327314753
factor_timing,2024,2,0.1053939120859186,1.8038703901352109,0.12048368092816023,1.857574396194307,0.0,0.11175270573673685,0.24546200319504963
factor_timing,2024,3,0.10213848731738802,2.2059393987034808,0.11449936078069625,2.2810007568868893,0.0,0.09032512373202593,0.22204375157143863
factor_timing,2024,4,0.09573695654396458,1.7067483167132915,0.1053835500081965,1.6425273825966926,0.0,0.24014271221652547,0.31653418180365267
factor_timing,2025,1,0.09051041741185137,1.6982690665066107,0.10116064767308969,1.7757982704172819,0.0,0.07615462557850973,0.15192938977722265
factor_timing,2025,2,0.0832258073987835,1.3959645867427977,0.0991072530563198,1.4630416623053073,0.0,0.15281189035890547,0.3354908392976805
industry_neutral,2023,1,0.09301501524745726,2.853923624786632,0.0976188520183891,2.8538581740686837,0.0,0.13425044713618656,0.3352047874545124
industry_neutral,2023,2,0.10038212451697272,2.503271905406803,0.10189924067485039,2.295177033766984,0.0,0.24855707905773528,0.48313343494111144
industry_neutral,2023,3,0.09052206773720144,1.86669619933942,0.09635986776723919,2.1130251572131145,0.0,0.0993916946968082,0.28852160740501953
industry_neutral,2023,4,0.08440279247098241,1.8987510205460834,0.09847056384748927,2.7796077497386658,0.0,0.15247228785637118,0.35510814879311264
industry_neutral,2024,1,0.10786911642522465,1.4846153722841933,0.1181085744220381,1.4053590829650142,0.0,0.19787327143066055,0.35993493033084306
industry_neutral,2024,2,0.10672284646284053,1.7336090919813603,0.11577626204088573,1.6533292537785738,0.0,0.12293283381601992,0.2468453801921252
industry_neutral,2024,3,0.10139639183027016,2.1052082194784574,0.11343396808433596,2.2985162132211134,0.0,0.1085802492184736,0.2630944294095579
industry_neutral,2024,4,0.0996563261888094,1.7851952605008445,0.10932516253858672,1.73992015539531,0.0,0.2724440838695481,0.36348655448608647
industry_neutral,2025,1,0.09080798329686204,1.9173028835167172,0.09992994595464502,1.962529708875986,0.0,0.11481846405801599,0.2201054706718094
industry_neutral,2025,2,0.08897504823058523,1.7478635418879223,0.10585415859820636,1.802714026404359,0.0,0.18077528184636407,0.43135198959474297
ensemble,2023,1,0.09674618577262968,2.7442185269029262,0.10071354700237525,2.754833817439403,0.0,0.1549317508988026,0.3885713077350788
ensemble,2023,2,0.10223009228446804,2.4776897856982867,0.1035318747334793,2.260082299061794,0.0,0.255575303226533,0.4839212890122126
ensemble,2023,3,0.089109094377998,1.7867712333270984,0.09627397121190989,2.046357431594296,0.0,0.06624620230094397,0.173496798314408
ensemble,2023,4,0.08739794444916595,1.9809443983930246,0.10137647469925617,2.7305501103609275,0.0,0.14921760567800682,0.3306419271482088
ensemble,2024,1,0.11481284088110544,1.360127793048783,0.12376306501641154,1.2248776469309723,0.0,0.20554800723267763,0.35863365579119644
ensemble,2024,2,0.10917283871761561,1.7135082388527623,0.118561226453252,1.6422403800095275,0.0,0.12792450695544666,0.2622497014893028
ensemble,2024,3,0.1038167631278814,2.1158557481885776,0.11650798710777821,2.2877379582624857,0.0,0.110276342633052,0.2891955135449341
ensemble,2024,4,0.10147798018038415,1.7531316089564806,0.1113006059290855,1.6147669509629552,0.0,0.2911845711645271,0.3492886131487987
ensemble,2025,1,0.09644686510727296,1.8607983471223501,0.1059211963677142,1.7878978726392767,0.0,0.12720307909450526,0.25716786171322453
ensemble,2025,2,0.08869153258760548,1.5226202967547706,0.1073163261805313,1.6034297521590823,0.0,0.16260681038987362,0.3870532419168534
